grupo	cancion	letra
Él mató a un policía motorizado	Ahora Imagino Cosas	Ahora imagino que|Están bebiendo en el bosque|Ahora imagino que|Sos tan feliz, tan feliz|Ahora imagino que|Un amigo me está traicionando|Ahora imagino que|Extrañas sombras siguen mis pasos|Quiero enfrentarme a todos|No me importa|Cuan salvaje es la pelea|No, no me importa||Quiero enfrentarme a todos|No me importa|Si me muero en las peleas|No, no me importa|Ahora imagino que|Mi tajada es más pequeña|Ahora me acuerdo que|Fui tan feliz, tan feliz|Quiero enfrentarme a todos|No me importa|Cuan salvaje es la pelea|No, no me importa|Quiero enfrentarme a todos|No me importa|Si me muero en las peleas|No, no me importa||Quiero enfrentarme a todos|No me importa|Cuan salvaje es la pelea|No, no me importa|Quiero enfrentarme a todos|No me importa|Si me muero en las peleas|No, no me importa|
Él mató a un policía motorizado	Aire Fresco	Rompiste mi corazón|Y este fin de todo llega como aire fresco|Rompiste mi corazón|Y este fin de todo llega como aire fresco|Como aire fresco|Como aire fresco|Como aire fresco|Como aire fresco|Como aire fresco|Como aire fresco|Como aire fresco|Como aire fresco||
Él mató a un policía motorizado	Alguien Que Lo Merece	Quiero que te duermas, ya es muy tarde|Toda la noche nos vimos llorar|Toda la noche pelear y llorar|De esas noches que queremos olvidar|Sueño que pierdo el tiempo en la cama|Durmiendo, durmiendo, durmiendo|Quiero que te tapes con la frazada|Toda la noche nos vimos llorar|Toda la noche pelear y llorar|De esas noches que queremos olvidar||Sueño el triunfo de alguien que lo merece|Lo merece, alguien que lo merece|
Él mató a un policía motorizado	Amigo Piedra	Sos mucho mejor que los demás|Todo el día pensando, pensando|Vos soñas con un barrio mejor|Y te quedaste mirando la nada|Amigo piedra, necesito que me ayudes|Con mi auto otra vez|Para viajar a ese lugar nuevo|
Él mató a un policía motorizado	Chica De Oro	Cuando juntes fuerzas las cosas van a estar mucho mejor|Cuando juntes fuerzas, chica de oro|Este invierno frío me hizo pensar en nosotros dos|Que quiero decirte lo mejor|¿Te acordás la tarde en que nos dimos cuenta de nuestro amor?|Jenny, fue todo tan mágico|Jenny, algún día, Jenny|Todo lo que ves, todo lo que ves será nuestro, nena|Jenny, algún día, Jenny|Todo lo que ves, todo lo que ves será nuestro, nena||Ya no quiero viajar y viajar|Ya no quiero viajar y viajar|esta noche quiero que duermas conmigo|Cuando juntes fuerzas las cosas van a estar mucho mejor|Cuando juntes fuerzas, chica de oro|Este invierno frío me hizo pensar en nosotros dos|Que quiero decirte lo mejor|Jenny, algún día, Jenny|Todo lo que ves, todo lo que ves será nuestro, nena|Jenny, Jenny|Todo lo que ves, todo lo que ves será nuestro, nena|Ya no quiero viajar y viajar|Ya no quiero viajar y viajar|esta noche quiero que duermas conmigo||
Él mató a un policía motorizado	Chica Rutera	Ey, espero que vuelvas|Espero que vuelvas|Espero que vuelvas|Ey , chica rutera|Chica rutera|Chica rutera|
Él mató a un policía motorizado	Destrucción	No me dejes así|Quiero volver a empezar|Este día lo perdí|Otra vez lo deje ir|No me hables así|Alla afuera voy a caer|Seria un milagro que|Tardes poco en responder|Y todo lo que digas me destruye|No me importa si está bien o está mal|Y todo lo que digas me destruye|No me importa si está bien o está mal||No me dejes así|Quiero volver a empezar|Este día lo perdí|Otra vez lo deje ir|No me hables así|Alla afuera voy a caer|Seria un milagro que|Te enamores de mi|Y todo lo que digas me destruye|No me importa si está bien o está mal|Y todo lo que digas me destruye|No me importa si está bien o está mal|Y todo lo que digas me destruye|No me importa si está bien o está mal|Y todo lo que digas me destruye|No me importa si está bien o está mal||Y todo lo que digas me destruye|No me importa si está bien o está mal|Y todo lo que digas me destruye|No me importa si está bien o está mal|Y todo lo que digas me destruye|No me importa si está bien o está mal|Y todo lo que digas me destruye|No me importa si está bien o está mal|
Él mató a un policía motorizado	Día De Los Muertos	Mi voz desapareció, igual ya no hablaba bien|Miro tu trono, señor, y espero la salvación|Se acercan las tormentas y yo mirando la pared|Besando la pared|Igual, será mejor anunciar la oscuridad de la ciudad|Y el renacer de este Diciembre final|Señor, me arden las manos|Radiante estrella que hoy acabarás con la ciudad|Miro tu trono, señor, y espero la salvación|Me arden las manos||
Él mató a un policía motorizado	Diamante	Esta niña se duerme hoy|Diamante|
Él mató a un policía motorizado	Doctora Muerte	Bien, esta vez lo quiero hacer bien, esta vez lo voy a hacer|Despertate que ya me voy, esta noche me voy|Despertate que ya me voy, hey nena|
