grupo	cancion	letra
Peligrosos Gorriones	Blanda y Plácida	Blanda y plácida|Una vida sin sentido|Un sueño permanente|Va cambiando mi camino|La vida de las cosas|Son para ella un respiro|Las cosas que me muestran|Como un loco escondido|Es tan suave encontrarte|Que al matarte, no sería tu asesino|Es tan dulce la mañana y la noche|Pero ya me acostumbraba|A encontrarte, encontrarte, encontrarte|Tan seca y excitante|Bombardeas mis sentidos|Un sueño permanente|Va cambiando mi camino|La vida de las cosas|Son para ella un respiro|Las cosas que me muestran|Como un loco escondido|Es tan suave encontrarte|Que al matarte, no sería tu asesino|Es tan dulce la mañana y la noche|Pero ya me acostumbraba|A encontrarte, encontrarte, encontrarte|Blanda y plácida|Una vida sin sentido|Un sueño permanente|Va cambiando mi camino|La vida de las cosas|Son para ella un respiro|Las cosas que me muestran|Como un loco escondido|Encontrarte, encontrarte, encontrarte
Peligrosos Gorriones	Manicomio Gris	Soy el manicomio gris|Soy el velatorio en sí|Te doy una porción de mí|Te doy de mi materia gris, el gris|Yo quisiera golpearla a usted|Yo quisiera golpearla a usted|No quisiera golpearla a usted|Yo quisiera golpearte, a usted|Soy el manicomio gris|Soy el velatorio en si|Con la enfermedad del llanto|Que te golpea tanto|Salto al nacer y ensancho|Tu figura es cultura|La carne del cuerpo una locura|Y yo quisiera golpearla a usted|Yo quisiera golpearla a usted|No quisiera golpearla a usted|Nuestra casa fue una aldea|De desprotegidos|Nuestra cama fue un ardor|No te ha parecido?|Recostado y quiero volver|A la canción y logro hacerlo|No te preocupes no puedo correr|Si se te escapa el cuerpo|Del manicomio, gris
Peligrosos Gorriones	Por Tres Monedas	En esta noche|Por tres monedas|Vendo mi amor|Ya no me importa|Lo que indique|Mi corazón|Pues me ha traicionado|Me ha maltratado|Sin ninguna razón|Por no saber amar|O por cuidarme mal|De desengaños|En un minuto más|Me entregaré al placer|De algún extraño|Cómo me han maltratado!|Yo creo que es más fácil|Beber para olvidar|Qué será de mi amor|En esta noche|Ya no estará mi amor|Desde esta noche|En esta noche|Por tres monedas|Vendo mi amor|Ya no me importa|Lo que indique|Mi corazón|Pues me ha traicionado|Me ha maltratado|Sin ninguna razón|Por no saber amar|O por cuidarme mal|De desengaños|En un minuto más|Me entregaré al placer|De algún extraño|Cómo me han maltratado!|Yo creo que es más fácil|Beber para olvidar|Qué será de mi amor|En esta noche|Ya no estará mi amor|Desde esta noche|En esta noche|En esta noche|En esta noche|En esta noche|En esta noche|En esta noche|En esta noche
Peligrosos Gorriones	Me Extingo	Un poco con sueño|Un poco con sida|Quiebra, que se quiebra|Se enfría mi vida|Sorda la serpiente|Engorda y se pierde|Azul el azufre|Me descomponía|Descontento|Con ser hombre o mujer|O un muerto, experimento|Entierro y me muero|Y me extingo, no hay más de mí|Me extingo, no hay más de mí|Me extingo, no hay más de mí|Me extingo, no hay más de mí|Un poco con sueño|Un poco con sida|Quiebra, que se quiebra|Se enfría mi vida|Sorda la serpiente|Engorda y se pierde|Azul el azufre|Me descomponía|Descontento|Con ser hombre o mujer|O un perro, experimento|Entierro y me muero|Y me extingo, no hay más de mí|Me extingo, no hay más de mí|Me extingo, no hay más de mí|Me extingo, no hay más de mí|La voladura|De mi cabeza|Que me atraviesa|Un poco con|Otro poco con|Un poco con|Otro poco con|Un poco con|Otro poco con|Un poco con|Otro poco con|Y me extingo, no hay más de mí|Me extingo, no hay más de mí|Me extingo, no hay más de mí|Me extingo, no hay más de mí
Peligrosos Gorriones	Trampa	Carabina de homicida|Serenata pueblerina|Atrapado y estancado|Una cárcel mi pasado|Ver detras de lo mostrado|Yo lo ví y debí evitarlo|Acercándome en lo vago|Me descubro decepcionado|¿Quién espera mi llegada?|¿Quienes me amarán, mañana?|Atorrante y degenerado|Corro sucio, ratero armado|Carabina de homicida|Carabina de homicida
Peligrosos Gorriones	Mi Propio Brujo	Son muchas las suertes|Que me arrojaron los dados|Las barajas, que levanté en estos años|Mi propio brujo, laralara|No puedo dejarlo|Ya lo habría intentado|Detengo su cuerpo|Odio nunca dejarlo|Sigo probando, laralara|Y me arrepiento cien veces más|Digo que me arrepiento|Es como un bicho|En el cual me convierto|Sí, estoy convencido|Estoy aburrido|Sí, ya me habrás oído|No quiero más ruidos|Sí, estoy convencido|Estoy aburrido|Sí, ya me habrás oído|En un día tranquilo
Peligrosos Gorriones	Viento Castelar	Fugarse del Fútbol|fugarse a la Luna|fuego de lunas|solo una decisión|sagrada sal|soltura de zapatos|en el aire|viento castelar|coldt 44|maderas en el vientre|sepulcros en el cuerpo|contaminación ,en el ambiente|esquiva maquina|tu punto disuelve|la gota elástica|vence al valor, al lobo|y al enorme canguro|y al fútbol|y donde esta ,en el futuro|en el camarin del de desayuno|condición vapor (ya)|condición solar (ya)|condición vapor (ya)|condición solar|cascara de cardón|te cuento que lagrima desayuno|por el sabor del cuerpo|cardumen de gordura|te cuento que mi ojo|espía al ladrón|y donde esta en el futuro|en el camarin del de desayuno|condición vapor ya|condición solar ya|condición vapor ya|condición solar (ya)|condición vapor ya|condición solar (ya)|condición vapor (ya)|condición solar (ya)|condición vapor (ya)|solar ,solar ,solar solar|solar solar solar|solar solar solar solar|Yeahu
Peligrosos Gorriones	Una Dosis	Una dosis se parece a los dos,|el espacio me parece explotar,|las cavernas se aproximan al cielo|brilla el trueno con ardor de la paz.|Mientras tanto las sirenas me bloquean,|aunque amanece poco a poco oscurece.|Una dosis sostenida en el mar,|no ahy anzuelo que me pueda atrapar,|y lo empecho blanco en la oscuridad|dulce muerte que prefiero evitar.|Y mientras tanto las sirenas me bloquean|aunque amanece poco a poco oscurece|Y mientras tanto las sirenas me bloquean|aunque amanece poco a poco oscurece.|La corriente lleva al alma hacia un callejon,|las verdades son amigas del corazón|pega el grito que te salva del escorpion,|desaparece del agua el laberinto.|Y ahora cantan las cancion en la eternidad|la atencion desaparece en la inmensidad.
Peligrosos Gorriones	Trampa	Carabina de homicida serenata|pueblerina atrapado y estancado|una carcel mi pasado ver detras|de lo mostrado yo lo ví|y debi evitarlo acercandome|en lo vago me descubro decepcionado|¿Quien espera mi llegada?|¿Quienes me amaran mañana?|Atorrante y degenerado corro sucio ratero|armado carabina de homicida, carabina de homicida.
Peligrosos Gorriones	Siempre Acampa	Acá en el sur las playas son de brea|la arena del mar son vidrios de botellas,|cortamos fiambre del cuerpo,|llevamos carne al entierro.|Las gallinas se ahorcan en el muelle|la infancia anda suelta anciana y crece|los perros se pudren en compotas|los trenes se apuntan de gangrena|La distancia termina en el barranco|y el espacio se envuelve de maletas…|La armonía siempre acampa en el desierto y es mi amiga|la alegría…|La armonía siempre acampa en el desierto y es mi amiga|la alegría…|En quemú quemú, mi casa es de madera,|la tierra me da sus flores de botellas,|Acá en el sur las playas son de brea|la arena del mar son vidrios de botellas,|cortamos fiambre del cuerpo,|llevamos carne al entierro.|Las gallinas se ahorcan en el muelle|la infancia anda suelta anciana y crece|los perros se pudren en compotas|los trenes se apuntan de gangrena|La distancia termina en el barranco|y el espacio se envuelve de maletas…
